"year","category","catval","percentile","wealth","ss","income"
2015,"age","4",94,1241902.25,27056.4,198669.83
2015,"age","4",95,1472126.54,27563.48,225054.71
2015,"age","4",96,2009792.22,28950.37,258167.14
2015,"age","4",97,2538996.42,30321.89,302557.82
2015,"age","4",98,3013939.08,31260.06,357409.16
2015,"age","4",99,3720689.29,35411.09,461916.04
2015,"age","4",100,19320855.77,61475.4,2393278.08
2015,"age","5",1,-5108.82,0,548.79
2015,"age","5",2,-1675.47,0,5304.35
2015,"age","5",3,-1036.84,0,6620.59
2015,"age","5",4,-739.47,0,7797.85
2015,"age","5",5,-366.43,0,8723.83
2015,"age","5",6,-18.86,0,9160.99
2015,"age","5",7,0,827.89,9625.54
2015,"age","5",8,0,3311.27,10009.89
2015,"age","5",9,0,4579.27,10503.59
2015,"age","5",10,104.2,5583.19,11035.96
2015,"age","5",11,244.06,5973.6,11549.4
2015,"age","5",12,398.38,6548.4,12249.97
2015,"age","5",13,578.38,7011.23,12845.74
2015,"age","5",14,742.08,7368.82,13626.58
2015,"age","5",15,931.17,7780.79,14221.51
2015,"age","5",16,1116.08,8084.4,14727.53
2015,"age","5",17,1380.06,8442,15470.1
2015,"age","5",18,1652.51,8845.79,16036.01
2015,"age","5",19,1989.6,9103.45,16470.22
2015,"age","5",20,2355.37,9391.53,16925.67
2015,"age","5",21,2690.23,9775.19,17528.71
2015,"age","5",22,3080.23,10111.86,18071.91
2015,"age","5",23,3669.02,10570.19,18562.69
2015,"age","5",24,4099.91,10871.64,18844.43
2015,"age","5",25,4369.66,11136.58,19226.88
2015,"age","5",26,4856.24,11403.6,19662.65
2015,"age","5",27,5303.16,11638.89,19995.59
2015,"age","5",28,5838.55,11857.2,20429
2015,"age","5",29,6337.27,12129.26,20814.22
2015,"age","5",30,6892.94,12296.4,21327.53
2015,"age","5",31,7692.01,12554.4,21901.8
2015,"age","5",32,8259.13,12694.8,22339.52
2015,"age","5",33,8947.04,12846,22794.58
2015,"age","5",34,9584.18,13075.2,23241.9
2015,"age","5",35,10432.08,13182.23,23695.16
2015,"age","5",36,11273.12,13396.07,24307.7
2015,"age","5",37,12269.59,13549.28,24871.56
2015,"age","5",38,13124.98,13724.73,25457.62
2015,"age","5",39,13886.56,13926,26027.96
2015,"age","5",40,14587.5,14122.04,26416.6
2015,"age","5",41,15553.45,14267.25,27159.41
2015,"age","5",42,16053.76,14496,27825.28
2015,"age","5",43,17202.55,14697.54,28486.77
2015,"age","5",44,18439.04,14843.55,29441.27
2015,"age","5",45,19441.03,15013.3,30005.9
2015,"age","5",46,20460.63,15144.03,30861.04
2015,"age","5",47,21862.46,15284.25,31335.8
2015,"age","5",48,23041.06,15436.92,32125.81
2015,"age","5",49,24416.78,15577.47,32601.79
2015,"age","5",50,26187.81,15667.14,33380.06
2015,"age","5",51,27766.26,15758.4,34154.79
2015,"age","5",52,29341.52,15910.83,34960.46
2015,"age","5",53,31205.74,16023.22,35583.52
2015,"age","5",54,33565.74,16182,36210.69
2015,"age","5",55,35933.57,16301.08,37085.45
2015,"age","5",56,38229.6,16449.84,37943.31
2015,"age","5",57,41410.76,16574.47,38679.47
2015,"age","5",58,44158.47,16685.39,39315.94
2015,"age","5",59,48139.5,16831.2,40032.45
2015,"age","5",60,51382.38,16924.05,40976.69
2015,"age","5",61,54129.21,17064.9,42034.3
2015,"age","5",62,58019.7,17226,42853.79
2015,"age","5",63,61318.16,17302.61,43751.26
2015,"age","5",64,64895.24,17482.2,44563.69
2015,"age","5",65,67885.35,17590.1,45377.73
2015,"age","5",66,71682.73,17735.06,47014.83
2015,"age","5",67,75877.87,17851.2,48198.8
2015,"age","5",68,79361.99,17978.37,49273.93
2015,"age","5",69,82087.55,18116.4,50327.19
2015,"age","5",70,86532.03,18278.4,51172.64
2015,"age","5",71,91922.99,18385.67,52945.07
2015,"age","5",72,95781.31,18510,54447.5
2015,"age","5",73,100860.66,18621.04,56046.94
2015,"age","5",74,105915.66,18736.55,57095.2
2015,"age","5",75,110322.35,18940.68,58886.13
2015,"age","5",76,115067.8,19108.98,60359.66
2015,"age","5",77,122752.71,19278,61733.01
2015,"age","5",78,130875.99,19427.82,63357.61
2015,"age","5",79,137344.5,19609.2,66145.21
2015,"age","5",80,146091.38,19801.65,68422.26
2015,"age","5",81,151951.43,20055.26,70919.23
2015,"age","5",82,166443.16,20300.14,72971.22
2015,"age","5",83,175262.49,20508.86,74465.42
2015,"age","5",84,190361.57,20763.16,77646.06
2015,"age","5",85,205930.49,20991.6,79885.46
2015,"age","5",86,220424.53,21186,82930.86
2015,"age","5",87,234969.99,21433.39,85821.47
2015,"age","5",88,257016.69,21789.18,89830.48
2015,"age","5",89,277644.8,21969.36,93838.19
2015,"age","5",90,308794.29,22530,98765.08
2015,"age","5",91,342365.61,23003.17,107815.85
2015,"age","5",92,384160.86,23411.56,115535.1
2015,"age","5",93,451470.31,23837.91,123766.79
2015,"age","5",94,527426.65,24841.02,132763.83
2015,"age","5",95,590303.35,25296.14,147615.33
2015,"age","5",96,692726.34,26178.04,164662.93
2015,"age","5",97,821314.84,27125.28,188513.42
2015,"age","5",98,1118901.96,27968.05,233759.75
2015,"age","5",99,1968074.69,31187.27,326807.21
2015,"age","5",100,18556559.14,49881.46,2786292.16
2015,"education","1",1,-1583.41,0,-91.38
2015,"education","1",2,-1387.79,0,-56.14
2015,"education","1",3,-1387.79,0,-34.71
2015,"education","1",4,-1376.3,0,888.64
2015,"education","1",5,-1240.48,0,1884.99
2015,"education","1",6,-1076.72,0,3141.91
2015,"education","1",7,-987.7,0,4389.01
2015,"education","1",8,-981.17,0,5607.07
2015,"education","1",9,-960.59,0,6059.01
2015,"education","1",10,-856.68,0,6879.99
2015,"education","1",11,-768.14,0,7619.57
2015,"education","1",12,-650.21,0,8154.43
2015,"education","1",13,-548.65,0,8662.06
2015,"education","1",14,-472.79,0,8864.64
2015,"education","1",15,-339.93,0,8985.86
2015,"education","1",16,-183.18,0,9206.4
2015,"education","1",17,-93.34,0,9398.94
2015,"education","1",18,-37.95,0,9630.72
2015,"education","1",19,-1.93,1074.08,9876.15
2015,"education","1",20,0,2171.07,10102.2
2015,"education","1",21,24.76,2994.45,10393.68
2015,"education","1",22,132.07,3504.19,10678.21
2015,"education","1",23,221.34,3885.75,10911.23
2015,"education","1",24,316.84,4508.14,11104.95
2015,"education","1",25,448.42,5080.47,11351.07
2015,"education","1",26,585.57,5484.02,11590.27
2015,"education","1",27,734.94,5790.42,11988.71
2015,"education","1",28,863.58,6107.27,12372.42
2015,"education","1",29,1051.05,6386.71,12621.18
2015,"education","1",30,1175.93,6676.1,12902.21
2015,"education","1",31,1338.92,6995.52,13273.34
2015,"education","1",32,1493.9,7266.83,13667.84
2015,"education","1",33,1675.19,7543.8,14029.34
2015,"education","1",34,1890.12,7744.8,14374.8
2015,"education","1",35,2104.31,8022,14704.57
2015,"education","1",36,2325.61,8233.97,15092.74
2015,"education","1",37,2550.37,8549.71,15427.77
2015,"education","1",38,2731.24,8745.1,15840.03
2015,"education","1",39,3064.92,9004.6,16089.79
2015,"education","1",40,3545.06,9152.92,16382.94
2015,"education","1",41,3860.45,9373.28,16669.42
